,property_type,state,lat,lon,area_m2,price_usd
489,apartment,Distrito Federal,193.499.358,-992.906.864,78.0,147557.13
490,apartment,Estado de México,19.402.713,-9.927.547,130.0,101196.61
492,house,Morelos,18.948.109,-9.926.886,200.0,155461.98
493,house,Querétaro,205.887.932,-1.003.898.881,334.0,279238.36
494,apartment,Distrito Federal,19.406.592,-99.155.442,90.0,224660.17
495,house,Nuevo León,25.677.525,-100.258.614,257.0,115937.75
498,house,Distrito Federal,19.318.989,-99.094.437,100.0,98523.72
499,house,Querétaro,20.712.143,-100.454.275,230.0,152790.8
500,house,Yucatán,2.101.429,-89.605.148,280.0,144922.18
501,house,Veracruz de Ignacio de la Llave,19.532.306,-96.897.717,100.0,60589.45
502,house,Veracruz de Ignacio de la Llave,19.173.773,-961.342.241,160.0,52686.48
503,house,Veracruz de Ignacio de la Llave,19.139.896,-96.109.911,163.0,68492.42
505,house,Baja California,32.665.619,-115.433.372,134.0,133442.74
506,house,Tamaulipas,22.270.658,-97.849.037,93.0,65873.72
507,house,Yucatán,21.021.821,-89.634.346,235.0,110641.61
508,apartment,Querétaro,205.887.932,-1.003.898.881,178.0,316118.9
509,house,Veracruz de Ignacio de la Llave,19.142.568,-96.125.389,214.0,92728.21
510,house,Morelos,18.970.675,-99.288.261,333.0,156742.28
511,house,Morelos,18.813.505,-98.953.514,90.0,52686.48
513,house,Sonora,27.492.618,-109.960.496,270.0,147522.15
514,house,Quintana Roo,2.065.593,-8.705.368,210.0,225024.63
515,house,Baja California Sur,24.143.626,-110.336.274,180.0,226551.88
516,house,Guerrero,16.841.759,-99.847.374,97.0,67981.68
518,apartment,Veracruz de Ignacio de la Llave,19.125.867,-96.106.026,189.0,279238.36
519,house,Chihuahua,23.634.501,-102.552.788,200.0,42149.18
520,house,Jalisco,206.081.524.999,-1.033.946.675.062,150.0,43993.21
521,apartment,Yucatán,21.029.198,-89.607.506,200.0,139619.18
522,house,Morelos,18.927.336,-99.213.448,145.0,121178.91
523,house,Veracruz de Ignacio de la Llave,25.439.677,-100.946.717,172.0,90589.54
524,apartment,Distrito Federal,19.472.481,-99.182.374,75.0,80635.87
525,house,Estado de México,19.514.382,-99.258.682,150.0,77325.47
526,house,Distrito Federal,19.325.355,-99.232.561,136.0,306635.33
527,house,Yucatán,21.072.905,-8.965.963,250.0,110641.61
528,house,San Luis Potosí,2.214.691,-101.038.651,245.0,144922.18
529,house,Morelos,18.879.347,-99.179.871,184.0,136984.85
530,house,Tabasco,180.341.023.227,-929.841.993.784,161.0,125950.55
531,house,Morelos,23.634.501,-102.552.788,338.0,147522.15
532,house,Puebla,18.921.051,-98.417.053,116.0,91463.73
533,house,Puebla,19.014.643,-98.170.731,140.0,89588.26
534,house,Morelos,18.858.107,-99.200.287,78.0,34246.21
535,house,Morelos,18.945.309,-9.922.372,380.0,263432.41
536,house,Yucatán,210.381.057,-895.933.722,213.0,118572.7
537,apartment,Distrito Federal,19.474.655,-99.189.277,70.0,50064.02
538,house,Yucatán,21.072.905,-8.965.963,200.0,102763.0
539,house,Veracruz de Ignacio de la Llave,25.531.834,-103.315.276,150.0,41105.2
540,apartment,Nuevo León,25.651.072,-100.342.773,92.0,208160.96
541,house,Estado de México,19.499.864,-99.050.138,175.0,100104.31
542,house,Estado de México,19.555.771,-99.248.612,200.0,94256.11
543,house,San Luis Potosí,22.157.743,-10.094.397,225.0,75078.23
544,house,Nuevo León,256.769.684,-1.004.508.956,107.0,50052.15
545,house,San Luis Potosí,221.470.009.295,-1.010.172.995.925,160.0,109587.88
547,house,Guerrero,1.685.678,-99.853.204,280.0,200208.63
548,apartment,Estado de México,19.424.913,-99.271.629,69.0,57422.47
549,house,Estado de México,195.496.674.785,-990.165.393.054,90.0,50052.15
550,house,Guerrero,16.867.283,-99.867.119,150.0,139619.18
552,house,Morelos,18.811.808,-9.894.649,100.0,47417.83
554,apartment,Distrito Federal,19.396.502,-99.128.797,80.0,39946.36
556,apartment,Yucatán,21.017.197,-89.574.516,66.0,83771.5
557,house,Hidalgo,200.649.913.245,-987.680.017.948,100.0,57955.13
558,house,Tamaulipas,22.266.645,-97.870.796,296.0,210745.93
559,house,Estado de México,18.948.179,-99.482.277,170.0,131716.2
560,apartment,Yucatán,213.421.022,-892.624.626,202.0,210743.21
561,house,Puebla,19.044.477,-98.328.011,235.0,168636.73
562,house,Chihuahua,286.556.674,-1.060.711.926,159.0,68205.43
563,house,Distrito Federal,192.826.778,-992.090.757,161.0,144887.83
564,apartment,Distrito Federal,1.948.888,-99.179.278,70.0,51393.55
565,house,Chiapas,16.732.222,-93.135.307,240.0,131716.2
566,house,Veracruz de Ignacio de la Llave,23.634.501,-102.552.788,205.0,78766.29
567,house,Yucatán,210.381.057,-895.933.722,165.0,100075.35
568,apartment,Guerrero,16.801.018,-99.824.979,98.0,99577.45
569,house,Estado de México,196.850.991,-992.113.669,62.0,37943.26
571,house,Morelos,189.212.022,-991.739.857,125.0,62184.79
572,house,Yucatán,21.030.668,-89.599.258,320.0,189663.62
573,apartment,Puebla,189.678.552.823,-982.848.708.631,127.0,176979.24
574,house,Nuevo León,25.723.516,-100.393.311,365.0,242415.29
575,house,Yucatán,210.151.423,-896.551.671,180.0,68245.17
576,apartment,Quintana Roo,211.359.373.912,-867.675.390.242,84.0,84318.36
579,house,Morelos,18.891.859,-99.187.134,320.0,210795.91
581,apartment,Sinaloa,23.261.248,-106.459.885,61.0,40568.59
582,apartment,Distrito Federal,19.364.891,-99.148.384,62.0,84318.36
583,apartment,Distrito Federal,19.426.528,-99.196.279,60.0,218648.9
584,apartment,Estado de México,19.369.319,-99.293.444,150.0,128098.38
585,apartment,Chiapas,16.745.249,-93.152.699,73.0,43202.91
586,apartment,Distrito Federal,19.434.723,-99.175.887,80.0,131768.89
587,apartment,Distrito Federal,19.449.392,-99.138.544,65.0,42676.05
588,house,Estado de México,1.955.134,-99.233.528,260.0,316118.9
589,house,Querétaro,20.607.178,-100.335.754,104.0,77975.99
590,house,San Luis Potosí,221.648.322.115,-1.009.765.219.688,125.0,51644.99
591,house,San Luis Potosí,221.664.458.833,-1.009.547.920.559,140.0,51644.99
592,house,Chiapas,16.771.928,-93.105.578,200.0,110667.85
594,house,Tamaulipas,22.246.319,-9.786.264,163.0,113302.8
595,house,Distrito Federal,19.365.175,-99.230.064,270.0,150683.34
596,apartment,Estado de México,19.379.597,-99.293.808,155.0,236091.42
599,house,Tlaxcala,19.312.792,-98.216.515,159.0,79029.72
600,house,Querétaro,23.634.501,-102.552.788,145.0,72707.34
601,house,Yucatán,21.039.522,-89.563.911,186.0,99577.45
603,house,San Luis Potosí,22.175.159,-100.979.996,188.0,72197.6
604,house,Puebla,191.105.571.397,-982.800.516.486,120.0,65858.1
606,house,Estado de México,1.964.443,-99.098.587,75.0,37943.26
607,house,Veracruz de Ignacio de la Llave,25.502.705,-103.408.554,190.0,42969.88
609,house,Veracruz de Ignacio de la Llave,25.461.545,-100.883.958,170.0,124340.1
610,apartment,Distrito Federal,19.478.815,-99.196.831,64.0,76395.4
611,house,Querétaro,20.611.304,-100.386.343,360.0,268701.06
612,house,Veracruz de Ignacio de la Llave,19.178.049,-96.128.845,160.0,84298.37
613,house,Veracruz de Ignacio de la Llave,20.955.351,-97.404.341,150.0,43729.78
615,house,Sonora,2.907.683,-1.109.871.743,309.0,189716.32
616,apartment,Guerrero,23.634.501,-102.552.788,178.0,237145.4
617,house,Yucatán,21.039.522,-89.563.911,215.0,98656.43
618,house,Nuevo León,257.431.730.317,-1.003.723.396.361,138.0,53225.96
619,apartment,Morelos,189.701.939.816,-992.423.853.278,117.0,123813.23
620,house,Aguascalientes,218.893.042.472,-1.022.563.044.727,198.0,41105.2
622,apartment,Distrito Federal,19.298.168,-99.113.106,83.0,177695.7
624,house,Chiapas,16.734.992,-93.102.641,121.0,83771.5
625,house,Nuevo León,25.701.321,-100.457.924,164.0,47417.83
626,house,Aguascalientes,2.188.585,-102.294.085,185.0,142253.5
627,house,Jalisco,20.618.633,-103.387.465,150.0,73761.07
628,house,Nuevo León,256.738.201.627,-1.003.135.946.987,120.0,79048.46
629,house,Morelos,18.942.068,-99.242.531,200.0,184446.42
630,house,Querétaro,20.700.323,-100.472.563,269.0,147522.15
631,house,Veracruz de Ignacio de la Llave,25.558.393,-103.385.429,113.0,44941.57
632,house,Nuevo León,25.580.088,-100.239.685,234.0,201310.09
633,house,Sinaloa,23.283.125,-106.406.723,192.0,47417.83
634,house,Chiapas,16.752.182,-93.088.427,184.0,79029.72
635,apartment,Distrito Federal,193.880.398,-991.695.793,100.0,113302.8
636,house,San Luis Potosí,2.214.691,-101.038.651,150.0,81664.04
637,house,Morelos,18.936.026,-99.216.217,286.0,209692.2
638,house,Distrito Federal,19.328.833,-99.133.163,140.0,123813.23
639,house,Distrito Federal,19.455.385,-99.209.835,216.0,84318.36
640,house,Puebla,19.071.239,-98.273.949,240.0,126447.56
641,house,Estado de México,19.501.955,-99.226.952,196.0,226551.88
642,house,Morelos,18.866.121,-99.231.445,180.0,147522.15
643,house,Querétaro,20.726.007,-100.442.642,330.0,194986.21
645,house,Yucatán,21.075.163,-89.516.731,192.0,92542.77
646,house,Tlaxcala,19.435.802,-9.810.286,135.0,41095.45
647,house,Yucatán,209.731.555,-896.229.189,250.0,84318.36
648,house,Estado de México,19.159.458,-99.565.956,79.0,37943.26
650,house,Puebla,190.412.967,-982.061.996,109.0,36889.28
652,house,Sinaloa,24.817.956,-107.434.033,146.0,64804.37
654,apartment,Sinaloa,23.299.184,-106.481.557,230.0,269754.79
655,apartment,Distrito Federal,1.936.243,-99.176.957,70.0,40568.59
656,apartment,Distrito Federal,19.390.062,-99.192.293,64.0,94858.16
657,house,Nuevo León,257.581.963,-1.002.665.026,135.0,79029.72
658,house,Querétaro,20.556.261,-100.370.035,112.0,90620.75
659,house,Chiapas,16.744.808,-93.179.222,350.0,147557.13
660,house,Yucatán,210.259.468.647,-89.584.236.145,264.0,149928.59
662,apartment,Quintana Roo,211.500.747.207,-868.316.459.656,165.0,121178.91
663,house,Chiapas,16.734.121,-92.626.991,100.0,84298.37
664,house,Querétaro,20.705.742,-100.444.016,223.0,137017.34
665,apartment,Distrito Federal,19.400.731,-99.125.466,80.0,68070.93
667,apartment,Distrito Federal,1.933.923,-99.218.987,83.0,147522.15
668,apartment,Distrito Federal,19.365.383,-9.916.507,81.0,161826.53
670,house,Yucatán,21.030.668,-89.599.258,350.0,221283.23
671,house,Morelos,18.864.874,-98.925.911,60.0,34246.21
672,apartment,Distrito Federal,19.463.009,-99.131.106,81.0,102738.64
673,house,Yucatán,213.085.667.381,-895.303.344.727,380.0,210795.91
674,house,Distrito Federal,1.933.427,-99.083.374,100.0,68492.42
675,apartment,Distrito Federal,19.499.434,-99.111.916,85.0,112402.96
677,apartment,Distrito Federal,19.380.937,-99.179.545,98.0,197146.87
679,house,Yucatán,21.006.866,-89.618.103,305.0,168596.74
680,house,Veracruz de Ignacio de la Llave,19.109.777,-96.106.922,240.0,168596.74
681,house,Baja California,32.459.403,-116.880.827,114.0,73761.07
682,house,Puebla,19.101.185,-98.357.062,90.0,42149.18
683,house,Querétaro,20.394.361,-99.973.053,354.0,115910.26
684,house,Yucatán,21.065.001,-896.239.875,155.0,71143.62
686,house,Querétaro,20.646.841,-100.376.117,86.0,45310.37
687,house,Morelos,18.897.581,-9.907.093,306.0,208160.96
688,house,Yucatán,21.072.905,-8.965.963,171.0,94278.47
690,house,Morelos,18.917.542,-98.963.181,182.0,97469.99
691,house,Veracruz de Ignacio de la Llave,20.948.336,-97.362.764,100.0,54267.07
692,apartment,Distrito Federal,19.396.018,-99.147.827,70.0,183989.47
693,house,Puebla,19.051.815,-98.277.669,198.0,115910.26
694,apartment,Distrito Federal,19.309.208,-99.171.906,70.0,77572.89
696,house,Yucatán,210.506.531,-895.588.406,334.0,137017.34
697,house,Yucatán,213.437.962.237,-89.262.059.927,130.0,110404.35
699,house,Querétaro,20.587.378,-100.418.361,106.0,56637.97
0,apartment,Nuevo León,25.721.081,-100.345.581,72.0,68421.05
2,house,Morelos,23.634.501,-102.552.788,360.0,278947.37
6,apartment,Estado de México,192.720.402,-99.572.013,85.0,65789.47
7,house,San Luis Potosí,221.388.821.177,-1.009.965.100.633,158.0,111578.95
8,apartment,Distrito Federal,19.394.558,-99.129.707,65.0,39904.74
10,house,Veracruz de Ignacio de la Llave,191.680.666,-96.160.663,100.0,35263.16
11,apartment,Distrito Federal,193.261.962.968,-99.140.586.108,74.0,157368.42
12,house,Yucatán,210.552.216,-896.583.682,220.0,112473.68
13,house,Chihuahua,28.691.416,-10.613.604,236.0,110526.32
15,apartment,Jalisco,20.641.428,-103.417.295,85.0,88947.37
16,house,San Luis Potosí,22.126.078,-100.944.672,131.0,55000.0
17,house,Puebla,190.364.236.166,-981.994.184.107,337.0,163157.89
18,apartment,Distrito Federal,19.367.239,-99.186.126,92.0,184210.53
19,apartment,Guerrero,16.851.935,-99.844.955,195.0,105263.16
20,house,Veracruz de Ignacio de la Llave,19.153.019,-9.612.487,207.0,144736.84
21,house,Nuevo León,257.501.328.883,-1.002.701.137.385,280.0,104736.84
22,apartment,Estado de México,19.536.253,-99.240.456,99.0,65789.47
23,house,Chiapas,19.673.779,-101.187.927,210.0,136842.11
24,house,Baja California,324.690.603,-1.168.196.303,111.0,71911.21
25,house,Yucatán,21.030.771,-89.646.347,150.0,63157.89
26,house,Chiapas,16.717.077,-93.162.903,170.0,94736.84
27,house,Morelos,18.813.908,-99.201.675,86.0,52631.58
28,apartment,Distrito Federal,19.473.001,-99.087.491,79.0,35841.58
29,house,Yucatán,21.072.905,-8.965.963,190.0,97368.42
30,house,Querétaro,20.618.279,-100.346.985,237.0,157894.74
31,house,Yucatán,21.075.163,-89.516.731,300.0,115263.16
32,house,Guerrero,168.659.727.494,-998.717.173.934,300.0,131578.95
35,house,Veracruz de Ignacio de la Llave,25.582.705,-103.376.805,232.0,81578.95
36,house,Yucatán,21.017.197,-89.574.516,220.0,92105.26
37,house,Hidalgo,20.036.614,-9.877.615,295.0,94736.84
38,house,Yucatán,210.399.331,-895.965.747,240.0,99473.68
39,house,Morelos,18.893.921,-99.221.429,160.0,150000.0
41,house,Veracruz de Ignacio de la Llave,25.545.829,-10.338.708,115.0,57894.74
42,house,Quintana Roo,21.139.086,-8.684.964,290.0,118421.05
43,house,Chiapas,19.681.248,-101.209.167,180.0,71052.63
44,apartment,Distrito Federal,19.271.467,-99.146.309,98.0,130842.11
45,house,Chiapas,19.724.886,-101.118.018,120.0,73684.21
46,house,Estado de México,19.420.156,-99.249.458,378.0,321052.63
48,house,Guanajuato,20.684.505,-101.406.695,280.0,189473.68
50,house,Puebla,18.984.862,-98.222.234,299.0,231578.95
51,house,Distrito Federal,19.289.286,-99.158.066,140.0,124210.53
52,house,San Luis Potosí,22.150.696,-101.010.025,172.0,81052.63
53,apartment,Distrito Federal,19.444.924,-99.139.843,60.0,46280.68
54,house,Tabasco,18.017.324,-92.899.362,98.0,36842.11
55,house,Puebla,19.014.643,-98.170.731,286.0,260526.32
57,house,Tamaulipas,22.258.686,-97.851.753,163.0,105263.16
58,house,Distrito Federal,19.378.482,-99.220.795,100.0,201061.21
59,house,Morelos,1.893.409,-99.254.997,240.0,178947.37
61,house,Yucatán,210.315.095,-89.600.513,325.0,186842.11
62,apartment,Yucatán,21.072.905,-8.965.963,190.0,184210.53
63,apartment,Morelos,18.923.538,-99.241.848,110.0,57894.74
65,house,Querétaro,20.681.293,-100.329.622,155.0,97368.42
67,house,Morelos,18.821.062,-98.949.371,120.0,69473.68
68,apartment,Guerrero,168.531.086,-998.236.533,141.0,121052.63
69,apartment,Puebla,19.049.024,-98.281.669,127.0,88947.37
70,house,Tamaulipas,223.400.533.557,-978.860.995.173,165.0,89473.68
71,house,Morelos,18.862.602,-99.213.448,145.0,97368.42
73,apartment,Yucatán,21.018.724,-89.589.836,60.0,47105.26
74,house,Jalisco,20.569.456,-10.350.165,176.0,123684.21
76,apartment,Distrito Federal,193.934.457,-991.796.926,100.0,279193.58
78,apartment,Distrito Federal,19.436.024,-9.915.461,64.0,236842.11
79,apartment,Distrito Federal,19.378.009,-99.193.543,180.0,78189.47
80,apartment,Distrito Federal,19.416.294,-9.916.748,117.0,289421.05
82,house,Morelos,18.859.078,-99.176.287,82.0,40000.0
83,house,Querétaro,20.692.161,-100.465.025,258.0,147368.42
84,house,Querétaro,20.394.361,-99.973.053,120.0,73684.21
85,house,Baja California,32.453.504,-117.038.495,111.0,71911.21
87,house,Tabasco,23.634.501,-102.552.788,82.0,44736.84
88,house,Estado de México,19.619.862,-99.146.996,75.0,37037.11
90,house,Hidalgo,20.059.035,-98.790.359,240.0,142105.26
91,house,Estado de México,19.468.129,-9.904.049,86.0,42807.63
92,house,Yucatán,210.424.858,-895.568.382,200.0,91315.79
93,house,Guerrero,16.758.369,-99.768.737,136.0,134715.79
95,house,Nuevo León,256.315.927,-1.001.953.926,90.0,43157.89
96,apartment,Quintana Roo,211.595.877.395,-868.222.086.132,145.0,166315.79
97,apartment,Guerrero,16.860.338,-99.870.399,250.0,100000.0
98,apartment,Guerrero,168.665.658.191,-998.808.288.574,108.0,51578.95
99,apartment,Jalisco,20.685.983,-103.447.155,64.0,77368.42
100,house,Yucatán,210.751.632,-895.167.298,252.0,103945.63
101,apartment,Distrito Federal,19.376.822,-99.174.675,114.0,233473.68
102,apartment,Puebla,190.303.511,-983.143.192,102.0,97368.42
103,house,Distrito Federal,19.433.274,-99.210.758,304.0,231478.95
104,apartment,Distrito Federal,19.394.358,-99.177.444,100.0,229400.0
105,house,Yucatán,21.039.522,-89.563.911,146.0,76315.79
106,house,Morelos,188.954.874,-991.732.936,154.0,93684.21
107,house,Puebla,18.984.862,-98.222.234,289.0,226315.79
108,house,Yucatán,21.072.905,-8.965.963,90.0,63157.89
109,house,Morelos,18.813.908,-99.201.675,67.0,34210.53
110,house,Jalisco,20.424.117,-10.329.756,299.0,163157.89
111,house,Yucatán,210.381.057,-895.933.722,182.0,105000.0
112,house,Estado de México,192.828.302.502,-99.566.673.518,267.0,157894.74
114,house,Chihuahua,286.464.221,-1.060.860.628,233.0,155263.16
115,apartment,Estado de México,195.652.097,-992.646.998,87.0,97368.42
116,house,Estado de México,19.284.855,-98.950.752,80.0,69473.68
117,house,Nayarit,2.070.506,-105.269.812,101.0,65789.47
118,house,Distrito Federal,192.753.576,-991.675.547,370.0,263157.89
119,apartment,Veracruz de Ignacio de la Llave,19.137.135,-96.112.946,110.0,57894.74
120,house,Jalisco,20.675.995,-103.420.837,220.0,213157.89
121,house,Tamaulipas,223.151.894,-978.573.594,318.0,47368.42
123,apartment,Distrito Federal,19.436.404,-99.173.617,70.0,90014.95
124,house,Quintana Roo,21.095.711,-86.869.343,147.0,98368.42
125,house,Baja California,32.509.445,-116.985.857,104.0,78947.37
127,house,Jalisco,20.616.705,-103.413.612,105.0,65789.47
129,house,Sinaloa,23.215.713,-106.418.182,315.0,252631.58
130,house,Yucatán,21.039.522,-89.563.911,277.0,147368.42
131,house,Yucatán,21.072.905,-8.965.963,240.0,122894.74
132,house,Yucatán,21.072.905,-8.965.963,201.0,75210.53
133,apartment,Yucatán,21.015.982,-89.705.116,172.0,176315.79
134,apartment,San Luis Potosí,22.125.907.517,-1.009.865.534.306,103.0,53684.21
135,house,Querétaro,20.547.674,-100.394.761,110.0,51578.95
136,apartment,Jalisco,20.677.448,-103.400.405,135.0,236842.11
138,house,Veracruz de Ignacio de la Llave,209.638.852,-974.124.504,88.0,44736.84
139,apartment,Distrito Federal,194.034.054,-991.825.418,120.0,209311.05
140,house,Querétaro,203.951.106,-999.856.344,180.0,73684.21
141,house,Estado de México,19.536.936,-9.922.732,270.0,184210.53
142,apartment,Distrito Federal,19.453.142,-99.180.214,68.0,52631.58
143,house,Veracruz de Ignacio de la Llave,191.496.682.663,-961.202.859.879,150.0,71052.63
144,house,Distrito Federal,193.434.214,-991.294.848,280.0,314736.84
145,house,Hidalgo,20.099.826,-98.772.656,140.0,51842.11
146,house,Distrito Federal,19.473.623,-99.124.863,147.0,122419.26
148,apartment,Querétaro,205.835.963,-1.003.729.496,144.0,160263.16
149,house,Puebla,23.634.501,-102.552.788,173.0,139473.68
150,house,Querétaro,205.878.757.635,-1.004.464.960.098,111.0,69684.21
151,house,Colima,19.232.695,-103.696.887,189.0,63157.89
152,apartment,Baja California,32.440.475,-116.983.772,70.0,36263.16
153,house,Veracruz de Ignacio de la Llave,19.513.165,-96.898.109,130.0,118421.05
154,house,Hidalgo,23.634.501,-102.552.784,140.0,78947.37
155,house,Chihuahua,286.983.446,-1.060.940.375,350.0,231578.95
156,house,Sinaloa,24.770.091,-107.444.782,155.0,76315.79
158,house,Tamaulipas,26.078.394,-98.325.452,80.0,44736.84
159,house,Sonora,289.547.958.912,-1.110.455.946.252,206.0,86842.11
160,house,Nuevo León,25.626.854,-100.188.538,170.0,78947.37
161,house,Querétaro,20.662.301,-100.441.093,235.0,131578.95
163,apartment,Quintana Roo,210.498.059.839,-868.535.878.365,178.0,205578.95
164,house,Chiapas,16.740.425,-9.312.841,170.0,94736.84
166,apartment,Distrito Federal,19.395.097,-99.150.424,65.0,53102.79
168,apartment,Morelos,18.960.824,-99.268.107,92.0,57894.74
169,house,Querétaro,207.037,-100.462.857,220.0,168421.05
170,house,Chihuahua,2.864.073,-106.109.581,300.0,197368.42
171,apartment,Distrito Federal,19.305.233,-9.912.269,75.0,47631.58
172,apartment,Estado de México,19.379.597,-99.293.808,80.0,166863.16
173,house,Estado de México,192.618.397.109,-995.839.350.622,195.0,136842.11
174,apartment,Distrito Federal,192.753.576,-991.675.547,101.0,173421.05
175,house,Durango,25.553.129,-103.510.059,187.0,42105.26
176,apartment,Morelos,1.893.409,-99.254.997,130.0,94736.84
177,house,Distrito Federal,19.346.687,-99.011.513,115.0,89210.53
178,house,Guerrero,16.838.398,-99.897.744,113.0,97368.42
180,house,Estado de México,19.482.168,-99.264.038,140.0,34021.74
182,house,Sinaloa,248.427.771,-1.073.931.108,117.0,47368.42
183,house,Quintana Roo,21.101.317,-86.862.888,182.0,134210.53
185,house,Quintana Roo,21.164.147,-86.868.479,330.0,197982.11
187,apartment,Nuevo León,25.647.146,-100.356.804,100.0,200000.0
188,house,Nuevo León,256.442.345.726,-1.002.966.356.277,228.0,142105.26
189,house,Sonora,290.904.798,-1.109.747.137,298.0,184210.53
191,house,Baja California Sur,241.596.323.322,-1.103.057.599.068,96.0,65789.47
192,house,Jalisco,20.784.784,-103.471.496,79.0,41052.63
193,house,Tamaulipas,222.465.535,-978.721.436,109.0,78947.37
194,house,Estado de México,19.569.101,-99.303.513,180.0,251578.95
196,house,Yucatán,21.039.522,-89.563.911,214.0,117894.74
197,house,Querétaro,20.555.649,-10.038.488,325.0,206315.79
198,apartment,Distrito Federal,19.405.298,-99.164.986,74.0,225263.16
199,apartment,Distrito Federal,19.258.038,-99.161.589,160.0,147368.42
200,house,Morelos,18.823.669,-99.227.295,165.0,86842.11
201,apartment,Distrito Federal,19.377.171,-99.188.503,75.0,106736.84
202,house,Yucatán,21.017.197,-89.574.516,206.0,113710.53
203,house,Morelos,18.892.714,-991.996,90.0,57894.74
204,house,Estado de México,19.636.706,-99.101.569,250.0,131578.95
205,house,Yucatán,21.039.522,-89.563.911,274.0,152368.42
207,house,Veracruz de Ignacio de la Llave,18.134.026,-94.476.112,235.0,165789.47
208,house,Yucatán,210.767.191.798,-896.277.563.274,155.0,67894.74
209,apartment,Distrito Federal,19.401.509,-99.154.034,90.0,116403.58
211,house,Tabasco,18.072.582,-93.165.413,350.0,66315.79
216,house,Yucatán,21.072.905,-8.965.963,190.0,97368.42
217,house,Tamaulipas,22.247.913,-97.875.565,263.0,127368.42
218,house,San Luis Potosí,22.148.722,-10.100.119,190.0,115789.47
219,house,Baja California,32.494.743,-117.016.784,92.0,51578.95
220,house,San Luis Potosí,221.897.892.283,-1.009.525.537.491,138.0,50000.0
221,house,Puebla,18.962.954.561,-982.796.788.216,222.0,151578.95
222,house,Morelos,188.859.084,-9.919.064,110.0,86842.11
223,house,Chihuahua,28.643.902,-106.130.157,355.0,260526.32
224,apartment,Distrito Federal,19.347.683,-99.165.877,135.0,236842.11
225,apartment,Distrito Federal,19.375.374,-99.137.657,110.0,77894.74
226,house,Distrito Federal,1.952.395,-99.152.881,95.0,147631.58
227,house,Guerrero,16.757.619,-99.767.532,140.0,144736.84
228,house,Yucatán,21.075.163,-89.516.731,197.0,91052.63
229,house,Puebla,1.902.038,-98.207.626,380.0,205263.16
230,house,Aguascalientes,219.243.493,-1.022.833.909,140.0,35789.47
231,house,Quintana Roo,211.351.429,-86.837.489,80.0,44736.84
232,apartment,Distrito Federal,1.939.365,-9.914.769,75.0,157489.47
233,house,Nuevo León,25.733.049,-10.022.847,200.0,69473.68
234,house,Baja California Sur,24.141.701,-110.347.267,275.0,184210.53
235,house,Jalisco,20.579.091,-103.430.379,164.0,86842.11
236,house,Nuevo León,25.731.798,-100.349.091,180.0,74234.37
237,house,Estado de México,19.672.207,-99.015.656,122.0,139473.68
238,apartment,Estado de México,19.401.066,-99.277.168,190.0,305263.16
239,house,Yucatán,2.100.227,-895.650.908,131.0,69578.95
240,house,Quintana Roo,20.680.066,-87.038.345,208.0,176842.11
241,apartment,Guerrero,16.864.830.635,-998.752.605.915,61.0,44736.84
242,house,Jalisco,20.760.167,-103.379.168,83.0,44736.84
244,house,Yucatán,210.283.803.657,-89.564.639.926,174.0,35526.32
245,house,Tlaxcala,19.341.597,-98.215.828,180.0,168421.05
246,house,Veracruz de Ignacio de la Llave,25.596.904,-1.034.203,118.0,44736.84
247,house,Chiapas,19.665.554,-101.235.738,115.0,77631.58
250,house,Estado de México,19.650.003,-99.220.367,245.0,100000.0
251,house,Nuevo León,257.708.161,-1.004.340.179,100.0,60526.32
252,house,Tamaulipas,222.331.041,-97.861.099,130.0,92105.26
253,house,Nuevo León,25.723.276,-100.401.518,278.0,240526.32
254,house,Puebla,19.044.477,-98.328.011,260.0,236842.11
255,house,Estado de México,19.562.922,-99.254.974,120.0,45789.47
256,apartment,Nuevo León,25.580.088,-100.239.685,130.0,104210.53
257,house,Puebla,19.055.344,-98.212.046,146.0,76315.79
258,house,Morelos,23.634.501,-102.552.788,290.0,221052.63
259,apartment,Distrito Federal,1.934.189,-99.166.374,80.0,97678.95
260,house,Estado de México,19.404.718,-99.263.313,139.0,252631.58
261,house,Querétaro,20.675.023,-100.457.086,304.0,273684.21
263,house,Estado de México,19.532.259,-9.923.214,220.0,204000.0
264,house,Tamaulipas,22.313.122,-97.858.559,193.0,50000.0
265,house,Tamaulipas,222.927.530.261,-978.906.248.519,88.0,60526.32
266,house,Morelos,18.864.874,-98.925.911,130.0,86842.11
267,house,Querétaro,20.726.007,-100.442.642,290.0,199473.68
269,house,Nayarit,207.204.378,-1.052.706.825,152.0,65789.47
270,house,Veracruz de Ignacio de la Llave,191.368.849,-961.093.008,130.0,57894.74
271,apartment,Estado de México,19.291.351,-99.668.945,85.0,48000.0
272,apartment,Morelos,189.242.095,-992.215.659,80.0,39473.68
273,apartment,Quintana Roo,21.152.496,-86.869.834,99.0,147368.42
274,house,Puebla,19.027.103,-98.270.025,166.0,83157.89
275,house,Nuevo León,2.556.551,-100.223.213,350.0,223684.21
277,house,Morelos,18.813.505,-98.953.514,140.0,63157.89
278,house,Yucatán,21.039.522,-89.563.911,253.0,120263.16
279,house,Morelos,18.804.409,-98.959.038,230.0,65789.47
281,house,Nuevo León,25.584.658,-100.257.912,350.0,262631.58
282,house,Estado de México,19.225.745,-99.567.856,270.0,207894.74
283,house,Jalisco,20.763.189,-103.389.053,95.0,81578.95
